rownames,ME,RMSE,MAE,MPE,MAPE,MASE,ACF1,PredictGroup,PredictMessage
420B06|MONTCO2,5.427725880116479,6.154144762696334,5.427725880116479,0.25537804677075854,0.25537804677075854,0,0,420B06|MONTCO,ESB
420B06|MPRICE2,5.289518877943005,8.909788215953697,7.169750071866657,0.1354407782022167,0.2106500259591628,0,0,420B06|MPRICE,ESB
420B06|MULLER2,7.346650922222857,13.561741253375798,11.399453761058773,0.09678137978917595,0.18301122742398268,0,0,420B06|MULLER,ESB
420B06|NFS2,26.996482482032725,46.200004020666086,37.49173649095041,0.1426205479531608,0.2435364518850616,0,0,420B06|NFS,ESB
420B06|NKS2,4.547937228778389,7.236709121607454,5.629051951603225,0.1065449746832293,0.13576429151633296,0,0,420B06|NKS,ESB
420B06|NOSEAGL2,-7.361228509938016,7.7477891936917285,7.361228509938016,-0.24142392092655143,0.24142392092655143,-0,-0,420B06|NOSEAGL,ESB
420B06|NWO2,-0.7777267355970396,1.350542041577343,1.104130848588821,-0.20803185527391746,0.2624325407725477,-0,-0,420B06|NWO,ESB
420B06|PASHORT2,4.499127501631815,6.0729771540480755,4.499127501631815,0.0874833272428476,0.0874833272428476,0,0,420B06|PASHORT,ESB
420B06|PCRV2,-0.25914519077572784,0.27720724447908635,0.25914519077572784,-0.037020741539389695,0.037020741539389695,-0,-0,420B06|PCRV,ESB
420B06|PEERNJ2,0.7654478591517488,3.222691277048701,3.13046779924116,0.005887509670761033,0.03307164691316805,0,0,420B06|PEERNJ,ESB
420B06|PEPIN2,2.0655896513383,11.28773756266188,11.097132903404017,0.013351671728971538,0.11960512175327409,0,0,420B06|PEPIN,ESB
420B06|PREMAU2,3.5074250098098005,11.360050294280011,10.805031813425266,0.017303761273463336,0.268945375191238,0,0,420B06|PREMAU,ESB
420B06|RAJGOLD2,10.012485824063099,12.942855472328434,10.012485824063099,0.08549449009371106,0.08549449009371106,0,0,420B06|RAJGOLD,ESB
420B06|RAJRAL2,5.013571493795908,7.573863532950394,5.67692783927653,0.02997264761756628,0.034042318448735745,0,0,420B06|RAJRAL,ESB
